#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
499;1;33651;11,23;#544D44;;84;77;68;33;19;32;33,2;1,2;6,4;dark orange
499;6;24873;8,3;#E6DFC8;;230;223;200;46;13;90;88,8;-1,4;12,1;pale yellow-orange
499;4;17718;5,91;#8D8479;;141;132;121;33;14;55;55,6;1,4;7,2;pale orange
500;1;113821;38;#E3D5D3;;227;213;211;7;7;89;86,3;4,5;2,7;very light grey
500;3;56601;18,89;#72695D;;114;105;93;34;18;44;44,9;1,3;8;pale orange
500;2;50015;16,7;#483D35;;72;61;53;25;26;28;26,7;3,3;6,7;dark red-orange
500;4;36549;12,2;#1B1414;;27;20;20;0;25;10;7,1;3,4;1,2;very dark red
500;6;27746;9,26;#B6A398;;182;163;152;22;16;71;68,3;5,1;8,2;pale red-orange
500;5;14836;4,95;#93BDE8;;147;189;232;210;36;91;75,1;-3,5;-25,9;light blue-cyan
501;5;64235;21,46;#0F0F0F;;15;15;15;0;0;5;4,3;0;0;black
501;4;56223;18,79;#8C97A4;;140;151;164;212;14;64;62;-1,2;-8,1;pale blue-cyan
501;6;54859;18,33;#555658;;85;86;88;220;3;34;36,5;0;-1,3;dark grey
501;1;53899;18,01;#71777E;;113;119;126;212;10;49;49,8;-0,7;-4,6;pale blue-cyan
501;2;39604;13,23;#363430;;54;52;48;40;11;21;21,8;0;2,8;dark orange
501;3;30446;10,17;#FCFCFD;;252;252;253;240;0;99;99;0,2;-0,5;white
502;4;85880;28,7;#ECDE9F;;236;222;159;49;32;92;88,2;-4,4;32,7;light yellow-orange
502;1;68610;22,93;#160B43;;22;11;67;251;83;26;7,4;23,7;-33,2;dark blue
502;2;56316;18,82;#DBAC80;;219;172;128;29;41;85;73,6;11,5;29,2;light red-orange
502;3;41313;13,81;#AD7D6E;;173;125;110;14;36;67;56,8;16,6;15,5;red
502;5;29606;9,89;#673E56;;103;62;86;324;39;40;31,8;21,8;-6,8;red-violet
502;6;17484;5,84;#C45358;;196;83;88;357;57;76;50,3;45,6;20;red
503;3;64636;21,58;#1C1A17;;28;26;23;36;17;11;9,4;0,3;2,4;very dark orange
503;4;60860;20,32;#686263;;104;98;99;350;5;40;42,1;2,6;0,3;grey
503;1;60475;20,19;#3A3C47;;58;60;71;230;18;27;25,5;1,9;-7;dark blue
503;6;55109;18,4;#9E978C;;158;151;140;36;11;62;62,8;0,6;6,7;pale orange
503;2;45490;15,19;#DACEBA;;218;206;186;37;14;85;83,2;0,8;11,4;pale orange
503;5;12998;4,34;#A9D3F0;;169;211;240;204;29;94;82,5;-7,2;-18,7;light blue-cyan
504;4;62382;20,82;#F5F5F7;;245;245;247;240;0;96;96,6;0,4;-1;white
504;2;61755;20,61;#C8C9CE;;200;201;206;230;2;80;81;0,6;-2,6;very light grey
504;3;55816;18,63;#6F7175;;111;113;117;220;5;45;47,6;0,1;-2,5;grey
504;6;50114;16,73;#999A9D;;153;154;157;225;2;61;63,6;0,2;-1,7;light grey
504;5;40250;13,44;#484646;;72;70;70;0;2;28;29,9;0,8;0,3;dark grey
504;1;29251;9,76;#1B1510;;27;21;16;27;40;10;7,3;1,9;3,9;very dark red-orange
505;2;82425;27,54;#939898;;147;152;152;180;3;59;62,4;-1,8;-0,6;grey
505;1;62910;21,02;#0D0E16;;13;14;22;233;40;8;4,1;1,3;-4,6;very dark blue
505;3;50388;16,84;#C2C7C6;;194;199;198;168;2;78;79,8;-1,9;-0,1;very light grey
505;4;47485;15,87;#66685E;;102;104;94;72;9;40;43,6;-2,8;5,4;pale yellow
505;5;41072;13,72;#313937;;49;57;55;165;14;22;23,2;-3,8;0,1;dark cyan
505;6;15020;5,02;#C5A193;;197;161;147;16;25;77;69,1;11,1;12,3;red-orange
506;2;121823;40,68;#232522;;35;37;34;100;8;14;14,4;-1,6;1,7;very dark yellow-green
506;5;60679;20,26;#474847;;71;72;71;120;1;28;30,5;-0,6;0,5;dark grey
506;4;42090;14,05;#877D77;;135;125;119;22;11;52;53,1;2,7;4,6;pale red-orange
506;1;31489;10,51;#C8CEDA;;200;206;218;220;8;85;82,6;0,3;-6,6;pale blue-cyan
506;3;24922;8,32;#858D52;;133;141;82;68;41;55;56,7;-12,6;30,5;yellow
506;6;18469;6,17;#788FCB;;120;143;203;223;40;79;59,8;7,1;-33,6;blue-cyan
507;4;87148;29,09;#182116;;24;33;22;109;33;12;11,6;-6,9;6,2;very dark green
507;1;69030;23,04;#43452A;;67;69;42;64;39;27;28,4;-5,9;16,1;dark yellow
507;3;53810;17,96;#797664;;121;118;100;51;17;47;49,4;-2,2;10,3;pale yellow-orange
507;2;41430;13,83;#C6BAA2;;198;186;162;40;18;77;75,9;0,3;13,7;pale orange
507;6;32468;10,84;#DDEBF1;;221;235;241;198;8;94;92,2;-3,5;-4,5;pale blue-cyan
507;5;15682;5,23;#919040;;145;144;64;59;55;56;58,4;-10,8;41,9;yellow-orange
508;3;67818;22,64;#161A14;;22;26;20;100;23;10;8,7;-3,4;3,4;very dark yellow-green
508;2;66703;22,27;#A5A2A0;;165;162;160;24;3;64;66,8;0,7;1,4;light grey
508;4;57402;19,16;#CCCBD0;;204;203;208;252;2;81;81,9;1,3;-2,4;very light grey
508;1;46810;15,63;#44423C;;68;66;60;45;11;26;28;-0,4;4;dark yellow-orange
508;6;44701;14,92;#77736F;;119;115;111;30;6;46;48,7;0,8;2,8;grey
508;5;16134;5,39;#A2B58A;;162;181;138;86;23;71;71,3;-14,3;19,8;pale yellow-green
509;4;90670;30,29;#2C3026;;44;48;38;84;20;18;19,2;-4;5,8;very dark yellow-green
509;1;75951;25,38;#2F4425;;47;68;37;100;45;26;26,4;-15,1;16,2;dark yellow-green
509;6;52366;17,5;#515D5F;;81;93;95;188;14;37;38,6;-4,2;-2,7;dark cyan
509;2;32540;10,87;#8D9696;;141;150;150;180;6;58;61,4;-3,2;-1,1;grey
509;3;28750;9,61;#ECF3EF;;236;243;239;145;2;95;95,2;-3;1,1;white
509;5;19023;6,36;#608042;;96;128;66;91;48;50;49,9;-22,9;29,9;yellow-green
510;2;103075;34,42;#DBE1E7;;219;225;231;210;5;90;89,2;-0,9;-3,6;very light grey
510;1;50043;16,71;#575958;;87;89;88;150;2;34;37,6;-1;0,3;dark grey
510;6;49367;16,48;#272817;;39;40;23;63;42;15;15,5;-3,9;11,1;very dark yellow
510;3;35970;12,01;#615E34;;97;94;52;56;46;38;39,2;-5,6;24,4;yellow-orange
510;5;35086;11,72;#A9A9AB;;169;169;171;240;1;67;69,3;0,4;-1;light grey
510;4;25949;8,66;#A88678;;168;134;120;17;28;65;58,7;10,9;12,5;red-orange
511;4;39785;23,18;#3E3935;;62;57;53;26;14;24;24,3;1,3;3,3;dark red-orange
511;3;32591;18,99;#8F8885;;143;136;133;18;7;56;57,2;2;2,5;grey
511;5;27950;16,29;#BFD1EA;;191;209;234;214;18;91;83,2;-0,9;-14,3;pale blue-cyan
511;2;26717;15,57;#E8DDCC;;232;221;204;36;12;91;88,6;0,9;9,7;pale orange
511;1;25974;15,14;#565732;;86;87;50;61;42;34;36;-6,8;21,4;dark yellow
511;6;18583;10,83;#AFAC6D;;175;172;109;57;37;68;69,3;-8,5;32,8;yellow-orange
512;1;114608;38,26;#131A27;;19;26;39;219;51;15;9,2;1,1;-9,9;very dark blue-cyan
512;5;50714;16,93;#2F3B50;;47;59;80;218;41;31;24,7;1,2;-14,3;dark blue-cyan
512;2;47213;15,76;#959692;;149;150;146;75;2;58;61,9;-1,1;2;grey
512;3;39920;13,33;#688FBA;;104;143;186;211;44;72;58,2;-1,9;-26,6;blue-cyan
512;4;29436;9,83;#9BCCF2;;155;204;242;206;36;94;79,9;-6,9;-23,8;light blue-cyan
512;6;17677;5,9;#CBB7A7;;203;183;167;26;17;79;75,7;4,5;10,7;pale red-orange
513;2;91674;30,6;#22221D;;34;34;29;60;14;13;13,1;-1,2;3,4;very dark yellow
513;1;52605;17,56;#9CAEC2;;156;174;194;211;19;76;70,3;-1,9;-12,3;pale blue-cyan
513;6;41785;13,95;#E3E8EA;;227;232;234;197;3;91;91,7;-1,3;-1,6;very light grey
