#;Cluster;Pixels;%;HEX;Swatch;Red;Green;Blue;Hue;Saturation;Value;Lightness;Green-Red;Blue-Yellow;Name
1264;3;53265;17,8;#E89E72;;232;158;114;22;50;91;71,4;22,8;34,1;red-orange
1264;2;48531;16,21;#150401;;21;4;1;9;95;8;2,2;5;3;very dark red
1264;6;33306;11,13;#491706;;73;23;6;15;91;28;15,7;22,8;21,3;dark red-orange
1264;5;26531;8,86;#FBDAA9;;251;218;169;35;32;98;88,7;4,6;28,4;light orange
1265;3;192063;64,1;#090C13;;9;12;19;222;52;7;3,3;0,5;-3,8;very dark blue-cyan
1265;1;39508;13,19;#2B201F;;43;32;31;5;27;16;13,5;5,1;2,7;very dark red
1265;2;22932;7,65;#E6BFAD;;230;191;173;18;24;90;80,2;11,2;14,3;pale red-orange
1265;6;21385;7,14;#533B32;;83;59;50;16;39;32;27,3;9,2;9,7;dark red-orange
1265;4;17638;5,89;#A87C6B;;168;124;107;16;36;65;55,9;14,7;16;red-orange
1265;5;6093;2,03;#0B3F53;;11;63;83;196;86;32;24,5;-8,5;-16,7;dark blue-cyan
1266;2;113462;37,91;#0C0100;;12;1;0;5;100;4;0,9;2,8;1,4;very dark red
1266;4;45053;15,05;#B75E12;;183;94;18;27;90;71;49,6;31,5;54;vivid red-orange
1266;3;41590;13,9;#E79727;;231;151;39;35;83;90;68,9;21,8;65,7;vivid orange
1266;1;41393;13,83;#792906;;121;41;6;18;95;47;28,6;33,4;37,7;red-orange
1266;5;39434;13,18;#3C0C02;;60;12;2;10;96;23;10,8;22,8;15,9;dark red
1266;6;18368;6,14;#F8DC58;;248;220;88;49;64;97;87,9;-4,9;66,2;yellow-orange
1267;5;95492;31,88;#160706;;22;7;6;3;72;8;3;4,9;2,2;very dark red
1267;2;71591;23,9;#431B0A;;67;27;10;17;85;26;15,5;18;19,2;dark red-orange
1267;6;53160;17,75;#794211;;121;66;17;28;86;47;34;20,1;37,7;red-orange
1267;3;38346;12,8;#C48121;;196;129;33;35;83;76;59,5;18,4;57,9;vivid orange
1267;4;29782;9,94;#F4D34B;;244;211;75;48;69;95;85,2;-2,7;68,4;yellow-orange
1267;1;11197;3,74;#FAF9C2;;250;249;194;58;22;98;96,8;-8,3;26,6;pale yellow-orange
1268;3;86690;28,9;#0D0501;;13;5;1;20;92;5;1,8;1,6;2,3;very dark red-orange
1268;2;53417;17,81;#E89221;;232;146;33;34;85;91;67,9;24,7;66,8;vivid orange
1268;4;47336;15,78;#B56112;;181;97;18;29;90;71;50;29,1;54,1;vivid red-orange
1268;1;38588;12,87;#793308;;121;51;8;22;93;47;30,5;28,3;38,4;red-orange
1268;5;37004;12,34;#FAC33B;;250;195;59;42;76;98;81,7;7,3;71,2;vivid orange
1268;6;36902;12,3;#411604;;65;22;4;17;93;25;13,9;19,7;19,4;dark red-orange
1269;4;99246;33,16;#90542C;;144;84;44;24;69;56;41,9;21,3;33,4;red-orange
1269;2;70459;23,54;#BE7E40;;190;126;64;29;66;74;58,3;18,9;43,1;red-orange
1269;1;67265;22,47;#592D17;;89;45;23;20;74;34;23,9;18,1;22,8;dark red-orange
1269;5;35938;12,01;#29120C;;41;18;12;12;70;16;8,4;11,2;7,8;very dark red
1269;3;15094;5,04;#FCFCED;;252;252;237;60;6;98;98,6;-2,6;7,2;white
1269;6;11298;3,77;#F5D386;;245;211;134;41;45;96;85,9;2;42,4;orange
1270;2;89153;29,77;#422822;;66;40;34;11;48;25;19,2;11,3;9;dark red
1270;6;56782;18,96;#563621;;86;54;33;23;61;33;25,9;11,8;19;dark red-orange
1270;4;52371;17,49;#7E532D;;126;83;45;28;64;49;39,3;13,8;29,2;red-orange
1270;3;38448;12,84;#CCA466;;204;164;102;36;50;80;69,7;7;37,6;orange
1270;1;37397;12,49;#A37942;;163;121;66;34;59;63;53,9;10,1;36,1;orange
1270;5;25321;8,46;#EFCD9B;;239;205;155;35;35;93;84,2;5;29,3;light orange
1271;5;63926;21,34;#666F79;;102;111;121;211;15;47;46,4;-1,1;-6,7;pale blue-cyan
1271;3;62233;20,77;#8F97A2;;143;151;162;214;11;63;62,2;-0,6;-6,7;pale blue-cyan
1271;4;51452;17,18;#121B1E;;18;27;30;195;40;11;9;-3,1;-3,4;very dark blue-cyan
1271;6;51414;17,16;#E9EBEE;;233;235;238;216;2;93;93;-0,1;-1,7;white
1271;2;36033;12,03;#303A44;;48;58;68;210;29;26;23,9;-1,4;-7,5;dark blue-cyan
1271;1;34510;11,52;#BBC7D6;;187;199;214;213;12;83;79,8;-1,1;-8,9;pale blue-cyan
1272;4;77269;25,84;#C44502;;196;69;2;20;99;76;47;48,5;57,3;vivid red-orange
1272;3;63184;21,13;#6A0801;;106;8;1;4;99;41;21;40,1;31,4;red
1272;1;60150;20,11;#971B01;;151;27;1;10;99;59;32,6;49,1;45,4;red
1272;2;56887;19,02;#E37803;;227;120;3;31;98;89;61,5;35,8;68,1;vivid orange
1272;6;25928;8,67;#F8A809;;248;168;9;39;96;97;74,8;19,5;77,5;vivid orange
1272;5;15625;5,23;#2D0101;;45;1;1;0;97;17;5,3;21,4;7,9;very dark red
1273;2;73670;24,59;#4D1304;;77;19;4;12;94;30;15,8;26,5;22,4;dark red
1273;5;69263;23,12;#200604;;32;6;4;4;87;12;4;10,6;4,6;very dark red
1273;4;63217;21,1;#8D2F03;;141;47;3;19;97;55;33,4;38,2;44,1;red-orange
1273;3;56125;18,74;#D55F03;;213;95;3;26;98;83;54,4;42,8;62,8;vivid red-orange
1273;1;24874;8,3;#FEF904;;254;249;4;58;98;99;95,5;-19,1;93;vivid yellow-orange
1273;6;12419;4,15;#FBBC0F;;251;188;15;44;94;98;79,9;10,4;80,5;vivid orange
1274;2;84168;28,1;#0D0D19;;13;13;25;240;48;9;4;2,6;-7,1;very dark blue
1274;4;60276;20,12;#483C35;;72;60;53;22;26;28;26,4;3,9;6,3;dark red-orange
1274;6;52572;17,55;#CBB683;;203;182;131;42;35;79;74,7;0,1;28,7;orange
1274;1;50245;16,77;#8A7556;;138;117;86;35;37;54;50,5;3,5;20,2;orange
1274;3;48277;16,12;#F5EDD3;;245;237;211;45;13;96;93,7;-1,6;13,6;pale yellow-orange
1274;5;4030;1,35;#126393;;18;99;147;202;87;57;39,8;-4,9;-32,7;blue-cyan
1275;1;65914;22,01;#999085;;153;144;133;33;13;60;60,3;1,4;7;pale orange
1275;5;64951;21,69;#6F665D;;111;102;93;30;16;43;43,8;1,9;6,4;pale orange
1275;4;55717;18,6;#463F36;;70;63;54;33;22;27;27,1;1,3;6,6;dark orange
1275;2;54829;18,31;#17130F;;23;19;15;30;34;9;6,2;1;2,8;very dark orange
1275;3;54025;18,04;#C3BDB2;;195;189;178;38;8;76;76,8;0,2;6,3;pale orange
1275;6;4054;1,35;#738747;;115;135;71;78;47;52;53,4;-18,2;31,9;yellow-green
1276;4;94550;31,56;#CDD5DB;;205;213;219;205;6;85;84,8;-1,6;-3,9;very light grey
1276;6;54871;18,32;#9B7B62;;155;123;98;26;36;60;54;8,8;18,4;red-orange
1276;2;46886;15,65;#715844;;113;88;68;26;39;44;39,4;7,3;15,5;red-orange
1276;1;44827;14,96;#B3A391;;179;163;145;31;19;70;67,9;2,8;11,5;pale orange
1276;5;30923;10,32;#433427;;67;52;39;27;41;26;23;4,6;10,8;dark red-orange
1276;3;27511;9,18;#150E0C;;21;14;12;13;42;8;4,5;2,3;1,8;very dark red
1277;2;68026;22,71;#5D574A;;93;87;74;41;20;36;37,2;0;8,4;dark orange
1277;5;65541;21,88;#8E7E67;;142;126;103;35;27;55;53,7;2,3;14,8;orange
1277;6;50286;16,79;#393126;;57;49;38;34;33;22;20,9;1,5;8,4;dark orange
1277;3;48850;16,31;#6C4D33;;108;77;51;27;52;42;35,5;9,7;20,5;red-orange
1277;1;36602;12,22;#BD8F60;;189;143;96;30;49;74;62,8;11,6;31,7;orange
1277;4;30263;10,1;#D4BC9A;;212;188;154;35;27;83;77,5;3,4;20,4;light orange
1278;6;78585;26,23;#8E9FB2;;142;159;178;211;20;69;64,8;-1,8;-11,8;pale blue-cyan
1278;3;71703;23,94;#120707;;18;7;7;0;61;7;2,7;3,4;1,2;very dark red
1278;2;62655;20,92;#A4B5C9;;164;181;201;212;18;78;73;-1,6;-12,1;pale blue-cyan
1278;4;62206;20,77;#B4C8DD;;180;200;221;210;18;86;79,7;-2,4;-12,7;pale blue-cyan
1278;5;17841;5,96;#3D4145;;61;65;69;210;11;27;27,3;-0,7;-3;dark blue-cyan
1278;1;6578;2,2;#4F3A0D;;79;58;13;40;83;31;25,9;4,3;29,9;dark orange
1279;2;80637;26,92;#626166;;98;97;102;252;4;40;41,4;1,5;-2,7;grey
1279;4;64119;21,4;#272015;;39;32;21;36;46;15;12,7;1,3;8,7;very dark orange
1279;1;52423;17,5;#EFEEEA;;239;238;234;48;2;93;94,1;-0,4;2;white
1279;5;48159;16,08;#919188;;145;145;136;60;6;56;59,9;-1,7;4,8;grey
1279;6;37539;12,53;#BAC9E1;;186;201;225;216;17;88;80,5;-0,2;-13,6;pale blue-cyan
1279;3;16691;5,57;#3C3A16;;60;58;22;56;63;23;23,8;-4,9;22,3;dark yellow-orange
1280;5;56684;18,92;#775A3A;;119;90;58;31;51;46;40,5;7,6;23;orange
1280;4;56364;18,81;#3C2B21;;60;43;33;22;45;23;19,2;6,2;9,6;dark red-orange
1280;3;52571;17,55;#79736C;;121;115;108;32;10;47;48,8;1;4,7;pale orange
1280;6;46510;15,52;#DDDBCB;;221;219;203;53;8;86;87,2;-2,1;8,1;pale yellow-orange
1280;2;44083;14,71;#B39D80;;179;157;128;34;28;70;65,9;3,6;18,2;orange
1280;1;43407;14,49;#6C2C1D;;108;44;29;11;73;42;27;27,4;23,5;red
1281;2;108852;36,37;#B8B3A6;;184;179;166;43;9;72;73;-0,5;7,3;pale orange
1281;6;66421;22,19;#B69A83;;182;154;131;27;28;71;65,5;6,8;15,9;red-orange
1281;1;52199;17,44;#825E41;;130;94;65;26;50;51;43;10,9;22,4;red-orange
1281;3;33995;11,36;#1D1913;;29;25;19;36;34;11;9;0,7;4,7;very dark orange
1281;5;25837;8,63;#615F57;;97;95;87;48;10;38;40,3;-0,8;4,9;pale yellow-orange
1281;4;11996;4,01;#D69055;;214;144;85;27;60;83;65,7;20,6;41,7;red-orange
1282;4;89880;30;#747476;;116;116;118;240;1;46;48,9;0,4;-1,1;grey
1282;2;59850;19,97;#9C9EA3;;156;158;163;222;4;63;65,1;0,3;-2,9;light grey
1282;1;47714;15,92;#1E1711;;30;23;17;27;43;11;8,4;2,3;5;very dark red-orange
1282;3;46845;15,63;#57524E;;87;82;78;26;10;34;35,2;1,2;3,1;dark red-orange
1282;5;42804;14,29;#5A3517;;90;53;23;26;74;35;26,1;13,6;25,3;dark red-orange
1282;6;12545;4,19;#DCD6CD;;220;214;205;36;6;86;85,9;0,5;5,2;very light grey
1283;3;102896;34,39;#1D1616;;29;22;22;0;24;11;8,1;3,5;1,3;very dark red
1283;1;58831;19,66;#3F3936;;63;57;54;20;14;24;24,5;2;2,8;dark red-orange
1283;6;52319;17,49;#6C6057;;108;96;87;25;19;42;41,6;3,2;6,9;pale red-orange
1283;2;40883;13,66;#9F978F;;159;151;143;30;10;62;62,9;1,5;5,3;pale orange
1283;5;25846;8,64;#EAE9E4;;234;233;228;50;2;91;92,3;-0,5;2,5;very light grey
1283;4;18434;6,16;#502228;;80;34;40;352;57;31;20,1;22,2;6,4;dark red
1284;2;87780;29,34;#18110D;;24;17;13;21;45;9;5,6;2,3;3;very dark red-orange
1284;1;60894;20,35;#8E8B81;;142;139;129;46;9;55;57,8;-0,8;5,7;pale yellow-orange
1284;5;48799;16,31;#51443B;;81;68;59;24;27;31;29,9;3,9;7,5;dark red-orange
1284;3;40701;13,6;#F5F7F5;;245;247;245;120;0;96;97;-1;0,7;white
1284;4;37157;12,42;#440E12;;68;14;18;355;79;26;13,2;26;12,1;dark red
1284;6;23877;7,98;#545A69;;84;90;105;222;20;41;38,2;1,2;-9,4;pale blue-cyan
1285;4;68917;23,03;#1F1917;;31;25;23;15;25;12;9,4;2,5;2,5;very dark red-orange
1285;5;58670;19,6;#7D7870;;125;120;112;36;10;49;50,6;0,4;5,1;pale orange
1285;1;51517;17,21;#9DA3A9;;157;163;169;210;7;66;66,7;-0,9;-3,8;light grey
1285;6;51306;17,14;#625B51;;98;91;81;35;17;38;39;0,9;6,8;pale orange
1285;2;38078;12,72;#3D3731;;61;55;49;30;19;23;23,5;1,4;4,7;dark orange
1285;3;30778;10,28;#EAF2FA;;234;242;250;210;6;98;95,1;-1,2;-4,8;white
1286;1;79173;26,46;#807362;;128;115;98;34;23;50;49,2;2,1;11,3;pale orange
1286;2;62823;21;#171415;;23;20;21;340;13;9;6,7;1,6;-0,2;very dark red-violet
1286;5;55722;18,62;#45372C;;69;55;44;26;36;27;24,3;4,3;9,2;dark red-orange
1286;6;51125;17,09;#B9B1A9;;185;177;169;30;8;72;72,6;1,4;5,1;pale orange
1286;4;28001;9,36;#892931;;137;41;49;355;70;53;32,1;41,2;18,3;red
1286;3;22365;7,47;#F8F8F4;;248;248;244;60;1;97;97,5;-0,7;1,9;white
1287;5;73037;24,38;#271E13;;39;30;19;33;51;15;12;2,4;9,1;very dark orange
1287;1;63694;21,26;#493C28;;73;60;40;36;45;28;26,2;2,4;14,5;dark orange
1287;2;58158;19,41;#FBFAF6;;251;250;246;48;2;98;98,2;-0,4;2;white
1287;6;53206;17,76;#75694C;;117;105;76;42;35;45;44,8;0;18,1;orange
1287;3;36619;12,22;#B1A088;;177;160;136;35;23;69;66,7;2,3;14,8;pale orange
1287;4;14854;4,96;#AEC38B;;174;195;139;82;28;76;76;-16,8;25,9;yellow-green
1288;2;56583;22,74;#D5DCDD;;213;220;221;187;3;86;87,3;-2,2;-1,3;very light grey
1288;5;47500;19,09;#1D140E;;29;20;14;24;51;11;7,2;3,4;4,9;very dark red-orange
1288;4;43398;17,44;#4D483B;;77;72;59;43;23;30;30,7;-0,4;8,6;dark orange
1288;6;40311;16,2;#ABB3B8;;171;179;184;203;7;72;72,5;-1,8;-3,5;light grey
1288;1;31078;12,49;#4F251D;;79;37;29;9;63;31;20,3;18,8;14,3;dark red
1288;3;29962;12,04;#867D6F;;134;125;111;36;17;52;52,8;0,9;8,9;pale orange
1289;4;65732;21,93;#3E3935;;62;57;53;26;14;24;24,3;1,3;3,3;dark red-orange
1289;2;62439;20,83;#1F1714;;31;23;20;16;35;12;8,6;3,4;3,5;very dark red-orange
1289;5;55179;18,41;#B9B7B2;;185;183;178;42;3;72;74,4;-0,2;2,8;light grey
1289;6;45736;15,26;#6D6351;;109;99;81;38;25;42;42,4;0,8;11,7;orange
1289;3;35912;11,98;#9EDEFC;;158;222;252;199;37;98;85,3;-12,9;-21;light blue-cyan
1289;1;34770;11,6;#87837D;;135;131;125;36;7;52;54,9;0,4;3,8;grey
1290;1;112356;47,89;#2E1E53;;46;30;83;258;63;32;16,2;22;-29,8;dark blue-violet
1290;2;43837;18,69;#7B5F3F;;123;95;63;32;48;48;42,4;7;22,6;orange
1290;4;33789;14,4;#95774D;;149;119;77;35;48;58;52;6;27,5;orange
1290;5;20495;8,74;#5B432A;;91;67;42;30;53;35;30,4;6,9;19,1;dark orange
1290;3;17180;7,32;#B69A5E;;182;154;94;40;48;71;64,9;2,4;35,2;orange
1290;6;6943;2,96;#3F2F33;;63;47;51;345;25;24;21,3;8,1;0,3;dark red
1291;4;81471;27,2;#473A29;;71;58;41;34;42;27;25,3;2,9;12,7;dark orange
1291;2;62953;21,01;#5F5855;;95;88;85;18;10;37;38;2,2;2,8;dark red-orange
1291;3;61121;20,4;#F4F2F7;;244;242;247;264;2;96;95,8;1,6;-2,2;white
1291;1;34205;11,42;#8D8173;;141;129;115;32;18;55;54,7;2,1;9,2;pale orange
1291;6;33758;11,27;#A6A4B0;;166;164;176;250;6;69;67,9;3;-5,9;light grey
1291;5;26060;8,7;#1E1D22;;30;29;34;252;14;13;11,1;1,8;-3,2;very dark blue
1292;3;72251;24,14;#4C481F;;76;72;31;54;59;29;30,1;-4,7;24,9;dark yellow-orange
1292;6;65320;21,82;#756831;;117;104;49;48;58;45;44,1;-2,5;32,4;yellow-orange
1292;1;51687;17,27;#A5924E;;165;146;78;46;52;64;60,9;-2;38,3;yellow-orange
1292;2;45021;15,04;#242B14;;36;43;20;78;53;16;16,3;-7,9;13,9;very dark yellow-green
1292;4;33318;11,13;#DECD81;;222;205;129;49;41;87;82,3;-4,6;39,9;light yellow-orange
1292;5;31703;10,59;#10110B;;16;17;11;70;35;6;4,8;-1,4;2,7;very dark yellow
1293;3;71246;23,78;#568F55;;86;143;85;119;40;56;54,3;-31,1;25,1;green
1293;1;67220;22,44;#7FC183;;127;193;131;123;34;75;72,4;-33,6;24,8;green
1293;4;50808;16,96;#416839;;65;104;57;109;45;40;40,1;-24;22,2;green
1293;5;45794;15,29;#96D699;;150;214;153;122;29;83;80,1;-32,3;23,8;light green
1293;6;42838;14,3;#6BA76A;;107;167;106;119;36;65;63,2;-32,1;25,6;green
1293;2;21662;7,23;#31472B;;49;71;43;107;39;27;27,7;-14,9;14,2;dark green
1294;3;89510;29,91;#6CAEA1;;108;174;161;168;37;68;66,5;-24,1;0;cyan
1294;2;53330;17,82;#898C7B;;137;140;123;70;12;54;57,6;-4,3;8,7;pale yellow
1294;1;51772;17,3;#1D2B27;;29;43;39;162;32;16;16,2;-7;0,7;very dark blue-green
1294;4;38147;12,75;#535446;;83;84;70;64;16;32;35,2;-3,2;8,1;dark yellow
1294;6;36101;12,06;#406869;;64;104;105;181;39;41;41,2;-13,7;-5;cyan
1294;5;30440;10,17;#C9CABA;;201;202;186;63;7;79;80,9;-3,2;7,9;very light grey
1295;1;132572;44,25;#0D1212;;13;18;18;180;27;7;5,1;-1,7;-0,6;very dark cyan
1295;4;42313;14,12;#39362A;;57;54;42;48;26;22;22,6;-1,1;8;dark yellow-orange
1295;2;41249;13,77;#9F957C;;159;149;124;42;22;62;61,9;-0,5;14,6;pale orange
1295;5;32455;10,83;#6F7164;;111;113;100;69;11;44;47,1;-3,3;7;pale yellow
1295;3;27705;9,25;#63563D;;99;86;61;39;38;38;37,2;1,2;16,5;orange
1295;6;23274;7,77;#D0C8B1;;208;200;177;44;14;81;80,7;-1,1;12,5;pale orange
1296;2;87392;29,2;#499878;;73;152;120;155;52;59;57,3;-32,2;9,5;blue-green
1296;6;62327;20,82;#6A7E60;;106;126;96;100;23;49;50,5;-13,3;14;pale yellow-green
1296;1;55014;18,38;#425739;;66;87;57;102;34;34;34,5;-14,5;14,9;dark yellow-green
1296;5;38510;12,87;#95AF91;;149;175;145;112;17;68;68,8;-14,8;12,4;pale green
1296;4;35234;11,77;#2C322E;;44;50;46;140;12;19;20,1;-3,6;1,7;very dark blue-green
1296;3;20823;6,96;#E1E0C6;;225;224;198;57;12;88;88,6;-4;12,9;pale yellow-orange
1297;5;69434;23,18;#7EBB8D;;126;187;141;134;32;73;70,8;-29,3;17,2;green
1297;1;61232;20,44;#9BD7AD;;155;215;173;138;27;84;81,1;-27,6;14,7;light blue-green
1297;4;53391;17,82;#958D51;;149;141;81;52;45;58;58,1;-5,9;33;yellow-orange
1297;6;49325;16,47;#5F5B30;;95;91;48;54;49;37;38,1;-5,2;25,2;dark yellow-orange
1297;3;37165;12,41;#252812;;37;40;18;68;55;15;15,2;-5,7;13,9;very dark yellow
1297;2;29021;9,69;#DED58C;;222;213;140;53;36;87;84,5;-7,5;37,2;light yellow-orange
1298;3;71973;24,05;#EBE9DB;;235;233;219;52;6;92;92,2;-1,7;7;very light grey
1298;2;66049;22,07;#3D3523;;61;53;35;41;42;23;22,5;0,4;12,7;dark orange
1298;6;52060;17,4;#5F5236;;95;82;54;41;43;37;35,5;0,9;18,4;dark orange
1298;4;46922;15,68;#1D1B10;;29;27;16;50;44;11;9,7;-1,3;7,4;very dark yellow-orange
1298;1;34966;11,69;#918D7E;;145;141;126;47;13;56;58,6;-1,2;8,5;pale yellow-orange
1298;5;27238;9,1;#877345;;135;115;69;41;48;52;49,3;1,3;28,2;orange
1299;1;85214;28,45;#267160;;38;113;96;166;66;44;42,9;-27,4;2,7;cyan
1299;4;81233;27,12;#46A08E;;70;160;142;168;56;62;60,2;-31,4;1,3;cyan
1299;3;53477;17,85;#74CDC4;;116;205;196;173;43;80;76,9;-28,9;-3,9;cyan
1299;5;36558;12,2;#273926;;39;57;38;116;33;22;21,9;-11,9;9,6;dark green
1299;2;28992;9,68;#657556;;101;117;86;91;26;45;47,2;-12,1;15,2;yellow-green
1299;6;14094;4,7;#B4C39E;;180;195;158;84;19;76;76,8;-11,7;16,9;pale yellow-green
1300;2;140380;46,9;#428A81;;66;138;129;172;52;54;52,9;-24,8;-2,1;cyan
1300;4;110604;36,95;#1F6C65;;31;108;101;174;71;42;41,1;-24,7;-2,9;cyan
1300;5;21576;7,21;#8AB0A8;;138;176;168;167;21;69;69;-14,5;-0,1;pale cyan
1300;6;11275;3,77;#135130;;19;81;48;148;76;31;30;-28,2;13,9;dark blue-green
1300;1;8085;2,7;#1C2F29;;28;47;41;161;40;18;17,6;-9,4;1,4;very dark blue-green
1300;3;7380;2,47;#7C4327;;124;67;39;19;68;48;34,9;21,9;27,4;red-orange
1301;3;66644;22,27;#9EC8A6;;158;200;166;131;21;78;76,9;-20,6;12,5;pale green
1301;2;65408;21,85;#162226;;22;34;38;195;42;14;12,3;-3,9;-4,4;very dark blue-cyan
1301;1;54966;18,36;#A19677;;161;150;119;44;26;63;62,3;-1;17,9;orange
1301;5;54198;18,11;#707A65;;112;122;101;88;17;47;49,9;-7,9;10,3;pale yellow-green
1301;4;32153;10,74;#54554A;;84;85;74;65;12;33;35,7;-2,6;6,3;dark yellow
1301;6;25931;8,66;#D3CDB2;;211;205;178;49;15;82;82,2;-2,4;14,2;pale yellow-orange
1302;4;90374;30,17;#80864E;;128;134;78;66;41;52;54,2;-11,4;29,4;yellow
1302;1;55785;18,62;#979A79;;151;154;121;65;21;60;62,6;-6,9;17;pale yellow
1302;3;44232;14,77;#2A230D;;42;35;13;45;69;16;14;-0,2;15,1;very dark yellow-orange
1302;2;44105;14,72;#D2D1C7;;210;209;199;54;5;82;83,7;-1,4;5,1;very light grey
1302;6;34342;11,46;#565122;;86;81;34;54;60;33;33,9;-5;27,9;dark yellow-orange
1302;5;30730;10,26;#FAFAFC;;250;250;252;240;0;98;98,3;0,4;-1;white
1303;6;73632;24,59;#394430;;57;68;48;93;29;26;27,3;-8,8;10,7;dark yellow-green
1303;5;70612;23,58;#3B6748;;59;103;72;137;42;40;39,7;-22,8;12,8;blue-green
1303;3;54505;18,2;#1A1815;;26;24;21;36;19;10;8,4;0,3;2,4;very dark orange
1303;4;47485;15,86;#CBCFB5;;203;207;181;69;12;81;82,2;-5,9;12,5;pale yellow
1303;1;47482;15,86;#899371;;137;147;113;77;23;57;59,3;-9,8;16,8;pale yellow-green
1303;2;5756;1,92;#26A127;;38;161;39;120;76;63;58,1;-55,8;50,7;green
1304;5;80517;26,88;#23323A;;35;50;58;200;39;22;19,8;-3,8;-7,1;dark blue-cyan
1304;2;66415;22,18;#152024;;21;32;36;196;41;14;11,4;-3,6;-4,3;very dark blue-cyan
1304;1;44652;14,91;#727776;;114;119;118;168;4;46;49,6;-2,1;-0,1;grey
1304;6;42830;14,3;#4C5353;;76;83;83;180;8;32;34,7;-2,8;-1;dark cyan
1304;3;40644;13,57;#9C9D95;;156;157;149;67;5;61;64,4;-1,9;4,1;light grey
1304;4;24432;8,16;#CDCBBF;;205;203;191;51;6;80;81,5;-1,4;6,2;very light grey
1305;4;90468;30,2;#D9E0E3;;217;224;227;198;4;89;88,7;-1,8;-2,3;very light grey
1305;3;85938;28,69;#24201B;;36;32;27;33;25;14;12,5;0,8;4,1;very dark orange
1305;6;38872;12,98;#5E524A;;94;82;74;24;21;36;35,8;3,5;6,5;dark red-orange
1305;2;38703;12,92;#81868C;;129;134;140;212;7;54;55,7;-0,6;-3,9;grey
1305;5;26267;8,77;#253752;;37;55;82;216;54;32;22,8;1,6;-18,7;dark blue-cyan
1305;1;19320;6,45;#6F1F27;;111;31;39;354;72;43;25,3;35,7;15,1;red
1306;2;80226;26,79;#868B8F;;134;139;143;206;6;56;57,6;-1;-2,8;grey
1306;4;71490;23,87;#656A70;;101;106;112;212;9;43;44,6;-0,6;-4;pale blue-cyan
1306;5;45895;15,33;#ACADAD;;172;173;173;180;0;67;70,6;-0,4;-0,1;light grey
1306;6;42541;14,21;#474747;;71;71;71;0;0;27;30,2;0;0;dark grey
1306;3;36371;12,15;#938677;;147;134;119;32;19;57;56,7;2,3;9,9;pale orange
1306;1;22949;7,66;#171616;;23;22;22;0;4;9;7,4;0,5;0,2;black
1307;1;66939;22,34;#78AEDE;;120;174;222;208;45;87;69,1;-5;-29,7;blue-cyan
1307;2;66457;22,18;#233D59;;35;61;89;211;60;34;25;-0,5;-19,8;dark blue-cyan
1307;4;63610;21,23;#A8BBCD;;168;187;205;209;18;80;75;-2,7;-11,2;pale blue-cyan
1307;5;49991;16,69;#48729B;;72;114;155;209;53;60;46,7;-2,4;-26,6;blue-cyan
1307;6;31342;10,46;#606063;;96;96;99;240;3;38;40,8;0,6;-1,7;dark grey
1307;3;21235;7,09;#A38E75;;163;142;117;32;28;63;60,3;3,9;16,2;orange
1308;1;92119;30,72;#96B0C5;;150;176;197;206;23;77;70,6;-4,2;-13,6;pale blue-cyan
1308;5;65518;21,85;#2F3E54;;47;62;84;215;44;32;25,8;0,5;-15,2;dark blue-cyan
1308;4;52519;17,52;#62717D;;98;113;125;206;21;49;46,8;-2,8;-8,5;pale blue-cyan
1308;6;35068;11,7;#845742;;132;87;66;19;50;51;41,4;16,1;19,8;red-orange
1308;3;27998;9,34;#D5A379;;213;163;121;27;43;83;70,7;13,1;28,9;light red-orange
1308;2;26610;8,87;#2B1F1F;;43;31;31;0;27;16;13,2;5,8;2,2;very dark red
1309;2;115611;38,6;#BBC3CD;;187;195;205;213;8;80;78,5;-0,8;-5,9;pale blue-cyan
1309;5;49250;16,44;#3A3E42;;58;62;66;210;12;25;26;-0,7;-3;dark blue-cyan
1309;6;43147;14,41;#6B717A;;107;113;122;216;12;47;47,4;-0,3;-5,7;pale blue-cyan
1309;1;41080;13,72;#51575F;;81;87;95;214;14;37;36,7;-0,5;-5,4;dark blue-cyan
1309;3;35303;11,79;#808C9A;;128;140;154;212;16;60;57,7;-1,3;-8,9;pale blue-cyan
1309;4;15099;5,04;#1B1C14;;27;28;20;67;28;11;9,9;-2,3;5,3;very dark yellow
1310;2;77598;25,9;#D0D3D6;;208;211;214;210;2;83;84,4;-0,5;-1,8;very light grey
1310;3;73041;24,38;#3B402E;;59;64;46;76;28;25;26,1;-5,9;10,3;dark yellow-green
1310;6;68015;22,7;#60655A;;96;101;90;87;10;39;42;-4,2;5,6;pale yellow-green
1310;1;42562;14,21;#161C13;;22;28;19;100;32;11;9,4;-5,1;5,1;very dark yellow-green
1310;5;34621;11,56;#A3A9AA;;163;169;170;188;4;66;68,8;-1,9;-1,3;light grey
1310;4;3731;1,25;#1E4A6B;;30;74;107;205;72;42;30;-3,3;-23,6;blue-cyan
1311;1;96505;32,21;#A29E94;;162;158;148;42;8;63;65,2;-0,4;5,7;pale orange
1311;4;94856;31,66;#C5C9CB;;197;201;203;200;3;79;80,7;-1;-1,5;very light grey
1311;6;38403;12,82;#747570;;116;117;112;72;4;45;49;-1,4;2,6;grey
1311;2;33903;11,32;#4A4C48;;74;76;72;90;5;29;32;-1,7;2,1;dark grey
1311;5;23934;7,99;#202220;;32;34;32;120;5;13;13;-1,4;1;very dark grey
