#;Space;Channel;Mean;Median;Min;Max;Std
35;HSV;Value;53,99;54,51;0,39;100;29,62
35;Lab;Lightness;39,57;38,74;0,06;99,93;24,61
35;Lab;Green-Red;18,28;20,35;-22,63;42,32;9,65
35;Lab;Blue-Yellow;35,86;39,02;-5,73;78,89;18,94
35;LCH;Lightness;39,57;38,74;0,06;99,93;24,61
35;LCH;Chroma;40,97;45,39;0,28;81,74;19,84
35;LCH;Hue;60,43;60,69;0,02;359,91;13,18
36;RGB;Red;96,7;89;10;255;55,28
36;RGB;Green;41,49;30;0;255;42,63
36;RGB;Blue;8,69;6;0;255;20,37
36;HSV;Hue;26,05;17,75;0;358,85;46,88
36;HSV;Saturation;88,66;93,33;0;100;15,6
36;HSV;Value;38;35,29;3,92;100;21,7
36;Lab;Lightness;23,82;20,63;1,37;100;18,21
36;Lab;Green-Red;22,61;24,78;-26,27;48,25;11,34
36;Lab;Blue-Yellow;28,16;27,29;-12,59;94,48;18,89
36;LCH;Lightness;23,82;20,63;1,37;100;18,21
36;LCH;Chroma;37,24;37,56;0;96,96;20,07
36;LCH;Hue;48,94;46,93;0,01;359,9;28,59
37;RGB;Red;106,85;97;0;255;73,99
37;RGB;Green;48,61;34;0;229;47
37;RGB;Blue;9,24;3;0;115;14,09
37;HSV;Hue;33,08;21,67;0;359,27;67,17
37;HSV;Saturation;93,88;96,27;0;100;7,34
37;HSV;Value;41,9;38,04;0;100;29,02
37;Lab;Lightness;26,85;22,83;0;90,89;22,33
37;Lab;Green-Red;22,04;25,4;-5,97;45,62;11,43
37;Lab;Blue-Yellow;30,75;31,27;-5,59;75,89;22,31
37;LCH;Lightness;26,85;22,83;0;90,89;22,33
37;LCH;Chroma;38,66;41,37;0;80,82;23,77
37;LCH;Hue;48,59;50,16;0;359,93;31,19
38;RGB;Red;94,28;71;2;255;66,94
38;RGB;Green;53,95;32;0;255;53,47
38;RGB;Blue;24,66;17;0;255;27,76
38;HSV;Hue;25,21;18,21;0;358,91;42,79
38;HSV;Saturation;70,52;72,92;0;100;19,45
38;HSV;Value;36,97;27,84;1,57;100;26,25
38;Lab;Lightness;26,02;17,81;0,63;99,71;22,67
38;Lab;Green-Red;15,27;15,49;-13,62;40,81;8,79
38;Lab;Blue-Yellow;23,38;18,35;-6,64;81,26;18,41
38;LCH;Lightness;26,02;17,81;0,63;99,71;22,67
38;LCH;Chroma;28,97;25,13;0;81,35;18,88
38;LCH;Hue;51,46;47,65;0,02;359,64;29,74
39;RGB;Red;129,45;138;11;255;69,99
39;RGB;Green;77,37;78;0;255;48,16
39;RGB;Blue;20,87;17;0;230;17,63
39;HSV;Hue;28,66;29,62;0;358,38;8,82
39;HSV;Saturation;83,83;84,21;9,75;100;9,29
39;HSV;Value;50,76;54,12;4,31;100;27,45
39;Lab;Lightness;37,03;39,55;1,39;99,35;22,13
39;Lab;Green-Red;17,01;18,77;-9,02;37,08;7,25
39;Lab;Blue-Yellow;37,51;40,78;-2,29;78,4;20,54
39;LCH;Lightness;37,03;39,55;1,39;99,35;22,13
39;LCH;Chroma;41,54;45,71;0,99;79,94;21,11
39;LCH;Hue;61,46;63,71;2,09;357,47;10,78
40;RGB;Red;119,31;112;8;255;65,76
40;RGB;Green;70,33;60;0;255;47,02
40;RGB;Blue;32,89;25;0;255;28,2
40;HSV;Hue;26,2;24,53;0;358,64;28
40;HSV;Saturation;72,75;73,76;0;100;11,94
40;HSV;Value;46,79;43,92;3,14;100;25,79
40;Lab;Lightness;34,03;31,46;0,52;100;21,15
40;Lab;Green-Red;17,36;17,67;-19,15;38,58;7,9
40;Lab;Blue-Yellow;29,22;28,93;-12,5;74,14;16,19
40;LCH;Lightness;34,03;31,46;0,52;100;21,15
40;LCH;Chroma;34,44;34,54;0;74,3;17,12
40;LCH;Hue;56,55;57,79;0,02;359,97;18,13
41;RGB;Red;105,01;95;0;255;71,84
41;RGB;Green;57,42;44;0;251;52,78
41;RGB;Blue;8,62;3;0;127;13,66
41;HSV;Hue;32,02;26,81;0;358,38;50,2
41;HSV;Saturation;92,38;94,92;0;100;11,21
41;HSV;Value;41,18;37,25;0;100;28,17
41;Lab;Lightness;28,49;24,44;0;95,71;23,41
41;Lab;Green-Red;16,71;18,02;-22,35;34,11;7,93
41;Lab;Blue-Yellow;32,38;33,04;-3,13;83,19;22,97
41;LCH;Lightness;28,49;24,44;0;95,71;23,41
41;LCH;Chroma;37,35;39,09;0;84,96;22,87
41;LCH;Hue;58,43;58,35;0;359,91;39,11
42;RGB;Red;91,72;58;0;255;73,35
42;RGB;Green;79,39;61;0;255;63,02
42;RGB;Blue;61,64;52;0;255;47,51
42;HSV;Hue;129,09;60,79;0;358,95;105,15
42;HSV;Saturation;52,61;51,28;0;100;23,47
42;HSV;Value;41,84;35,29;2,35;100;26,43
42;Lab;Lightness;33,93;27,03;0,59;100;25,07
