#;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;Color 1 HEX;Color 1%;Color 1 Name;Color 2 HEX;Color 2 %;Color 2 Name;Color 3 HEX;Color 3 %;Color 3 Name;Color 4 HEX;Color 4 %;Color 4 Name;Color 5 HEX;Color 5 %;Color 5 Name
140;109,5;115,7;98,4;121,3;23,3;46,8;46,6;13,9;#555859;23,07;dark grey;#555F3B;21,79;dark yellow-green;#232321;18,74;very dark grey;#9BA165;14,99;yellow;#E0ECF0;13,06;white
141;132,5;130,7;127,5;111,4;13,5;54,4;53,8;6,8;#808282;24,1;grey;#585755;20,4;dark grey;#AEB1AF;19,21;light grey;#332C29;14,75;dark red-orange;#E1E7E5;14,65;very light grey
142;136;70,6;31,5;19,8;79,8;53,3;36,3;41,6;#DB7A35;18,28;vivid red-orange;#6D2C0F;17,97;red-orange;#230C06;17,57;very dark red;#441609;17,54;dark red;#A04E1B;15,71;red-orange
143;115,8;108,9;93,3;56,9;24,7;45,9;45;10,7;#474031;21,12;dark orange;#756A56;19,38;orange;#A79A82;19,02;pale orange;#1F1E15;18,64;very dark yellow-orange;#DBD2BF;13,08;pale orange
144;148,2;99,1;43,5;33,6;76,5;58,2;45,1;42,1;#2D1A0B;22,7;very dark red-orange;#96480C;20,67;red-orange;#592C07;19,92;dark red-orange;#E48029;14,17;vivid red-orange;#F9D263;13,38;orange
145;43,8;30,2;9,1;50,9;75,2;17,5;12,7;14,6;#0F0C05;40,69;very dark orange;#291503;27,46;very dark red-orange;#492B05;14,36;dark orange;#343325;12,13;dark yellow-orange;#905E06;3,95;orange
146;130,9;123,6;117,3;98,4;27,8;54,1;51,3;10,7;#BEC7D1;35,26;pale blue-cyan;#614532;22,75;red-orange;#776A5C;13,68;pale orange;#413E2E;9,85;dark yellow-orange;#27180F;9,37;very dark red-orange
147;112,3;115,8;124,8;191,5;25,4;51,9;47,2;11,3;#20222B;26,4;very dark blue;#CAEDFE;20,7;pale blue-cyan;#817985;16,94;pale blue-violet;#444A55;15,86;dark blue-cyan;#654844;11,56;red
148;114,1;93,5;73,7;37,4;39,6;44,9;40,5;16,7;#2E1F13;21,7;very dark red-orange;#534C3F;19,19;dark orange;#6D4630;17,69;red-orange;#837B67;16,15;pale orange;#CDBDA0;13,04;pale orange
149;150,4;140,1;134;113,2;15,1;60,4;58,6;9;#CFC6C1;25,12;very light grey;#716967;22,7;pale red;#979E97;18,62;light grey;#A9918A;15,81;pale red;#423E3F;10,72;dark grey
