IMAGE COLOR SUMMARIZER  —  Batch Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Image Info;;;;;;Mean Values;;;;;;;;Color 1;;;Color 2;;;Color 3;;;Color 4;;;Color 5;;;
#;URL;Filename;ID;placeInfo/name;W×H;R mean;G mean;B mean;H° mean;S% mean;V% mean;L mean;C mean;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;HEX;%;Name;Status
36;https://media-cdn.tripadvisor.com/media/photo-w/1a/4a/b9/50/caption.jpg;caption.jpg;732649255;Cave of Dragon (Spilia tou drakou);1024×1365;96,7;41,5;8,7;26,1;88,7;38;23,8;37,2;#702705;31,52;red-orange;#481705;27,18;dark red-orange;#240F09;23,99;very dark red;#AA4904;12,16;vivid red-orange;#FAC50D;4,09;vivid yellow-orange;✓ OK
37;https://media-cdn.tripadvisor.com/media/photo-o/1a/44/b2/8d/img-20191211-125213-largejpg.jpg;img-20191211-125213-largejpg.jpg;732055200;Cave of Dragon (Spilia tou drakou);912×684;106,8;48,6;9,2;33,1;93,9;41,9;26,9;38,7;#130301;23,85;very dark red;#350E02;18,47;dark red;#C16310;18,43;vivid red-orange;#622204;16,29;red-orange;#923E09;15,49;red-orange;✓ OK
38;https://media-cdn.tripadvisor.com/media/photo-o/1a/30/eb/32/img-20191201-112717-largejpg.jpg;img-20191201-112717-largejpg.jpg;730236098;Cave of Dragon (Spilia tou drakou);750×1000;94,3;54;24,7;25,2;70,5;37;26;29;#3D1B0F;27,38;dark red-orange;#20120F;27,27;very dark red;#5E290F;18,75;dark red-orange;#904814;11,99;red-orange;#D78A33;8,49;vivid orange;✓ OK
39;https://media-cdn.tripadvisor.com/media/photo-o/19/f8/68/e2/img-20191107-wa0006-largejpg.jpg;img-20191107-wa0006-largejpg.jpg;725009739;Cave of Dragon (Spilia tou drakou);960×1280;129,4;77,4;20,9;28,7;83,8;50,8;37;41,5;#1D0E05;21,13;very dark red-orange;#9C5C18;19,99;orange;#774112;17,11;red-orange;#C17820;17,04;vivid orange;#EA9C27;12,6;vivid orange;✓ OK
40;https://media-cdn.tripadvisor.com/media/photo-w/19/d5/08/7d/photo2jpg.jpg;photo2jpg.jpg;721696527;Cave of Dragon (Spilia tou drakou);1024×1365;119,3;70,3;32,9;26,2;72,8;46,8;34;34,4;#28140B;23,66;very dark red-orange;#4E2A15;22,19;dark red-orange;#AB632A;20,09;vivid red-orange;#7C441D;18,24;red-orange;#DB893A;12,98;red-orange;✓ OK
41;https://media-cdn.tripadvisor.com/media/photo-w/19/bd/50/26/caption.jpg;caption.jpg;719614205;Cave of Dragon (Spilia tou drakou);1024×1365;105;57,4;8,6;32;92,4;41,2;28,5;37,4;#120301;21,44;very dark red;#331202;19,46;dark red-orange;#8B4707;17,65;red-orange;#5C2A03;16,63;dark red-orange;#BB710F;15,77;vivid orange;✓ OK
42;https://media-cdn.tripadvisor.com/media/photo-m/1280/19/7e/9c/dc/img-20191005-161507-largejpg.jpg;img-20191005-161507-largejpg.jpg;715488131;Cave of Dragon (Spilia tou drakou);1280×720;91,7;79,4;61,6;129,1;52,6;41,8;33,9;24,6;#32435A;34,31;dark blue-cyan;#251C1D;28,22;very dark red;#6C3B19;16,61;red-orange;#BE8027;9,3;vivid orange;#F0D850;7,89;yellow-orange;✓ OK
43;https://media-cdn.tripadvisor.com/media/photo-m/1280/19/5b/ba/2f/20190921-105002-largejpg.jpg;20190921-105002-largejpg.jpg;712140097;Cave of Dragon (Spilia tou drakou);720×1280;40,1;17,8;8,6;50,6;87,5;15,7;8,9;12,6;#100301;59,48;very dark red;#2A0D04;20,73;very dark red;#4A1F0A;12,33;dark red-orange;#844818;4,76;red-orange;#DFB958;1,45;orange;✓ OK
44;https://media-cdn.tripadvisor.com/media/photo-m/1280/19/28/29/f5/p-20190906-144701-largejpg.jpg;p-20190906-144701-largejpg.jpg;707543808;Cave of Dragon (Spilia tou drakou);720×1280;75,5;54,2;33,2;61,2;62,5;30,3;23,6;18,1;#160C08;44,06;very dark red-orange;#432511;23,22;dark red-orange;#835626;11,77;orange;#D49F56;10,72;orange;#314241;6,83;dark cyan;✓ OK
45;https://media-cdn.tripadvisor.com/media/photo-o/19/1d/46/42/caption.jpg;caption.jpg;706317542;Cave of Dragon (Spilia tou drakou);1000×667;131,7;93,3;62,8;26,9;56,1;51,6;42,6;26,7;#896A56;30,28;red-orange;#683D20;26,4;red-orange;#C5A386;18,18;red-orange;#2B150B;12,34;very dark red-orange;#B05511;8,97;vivid red-orange;✓ OK
